Date;Close;Chg %;
2000-01-27;1603.9;1732;7.4;
2000-02-24;1732;1549.5;11.78;
2000-03-30;1549.5;1416.9;9.36;
2000-04-27;1416.9;1247.65;13.57;
2000-05-25;1247.65;1492.35;16.4;
2000-06-29;1492.35;1338.05;11.53;
2000-07-27;1338.05;1394.1;4.02;
2000-08-31;1394.1;1266.4;10.08;
2000-09-28;1266.4;1186.3;6.75;
2000-10-26;1186.3;1268.15;6.45;
2000-11-30;1268.15;1248.95;1.54;
2000-12-28;1248.95;1370.1;8.84;
2001-01-25;1370.1;1355.1;1.11;
2001-02-22;1355.1;1195.1;13.39;
2001-03-29;1195.1;1143.75;4.49;
2001-04-26;1143.75;1167.9;2.07;
2001-05-31;1167.9;1094;6.76;
2001-06-28;1094;1053.4;3.85;
2001-07-26;1053.4;1064.15;1.01;
2001-08-30;1064.15;890;19.57;
2001-09-27;890;983.2;9.48;
2001-10-25;983.2;1067.15;7.87;
2001-11-29;1067.15;1020;4.62;
2001-12-27;1020;1075.4;5.15;
2002-01-31;1075.4;1142.05;5.84;
2002-02-28;1142.05;1129.55;1.11;
2002-03-28;1129.55;1094.3;3.22;
2002-04-25;1094.3;1032.15;6.02;
2002-05-30;1032.15;1048.55;1.56;
2002-06-27;1048.55;1001.55;4.69;
2002-07-25;1001.55;987.25;1.45;
2002-08-29;987.25;969.9;1.79;
2002-09-26;969.9;951.4;1.94;
2002-10-31;951.4;1049.7;9.36;
2002-11-28;1049.7;1094.8;4.12;
2002-12-26;1094.8;1034.6;5.82;
2003-01-30;1034.6;1052.95;1.74;
2003-02-27;1052.95;1002.7;5.01;
2003-03-27;1002.7;929.7;7.85;
2003-04-24;929.7;1002.6;7.27;
2003-05-29;1002.6;1116.35;10.19;
2003-06-26;1116.35;1185.85;5.86;
2003-07-31;1185.85;1341.05;11.57;
2003-08-28;1341.05;1357.2;1.19;
2003-09-25;1357.2;1516.85;10.53;
2003-10-30;1516.85;1598.35;5.1;
2003-11-27;1598.35;1808.7;11.63;
2003-12-24;1808.7;1843.6;1.89;
2004-01-29;1843.6;1765.8;4.41;
2004-02-26;1765.8;1704.45;3.6;
2004-03-25;1704.45;1808.95;5.78;
2004-04-29;1808.95;1586.4;14.03;
2004-05-27;1586.4;1470.75;7.86;
2004-06-24;1470.75;1618.7;9.14;
2004-07-29;1618.7;1610.75;0.49;
2004-08-26;1610.75;1745.5;7.72;
2004-09-30;1745.5;1800.1;3.03;
2004-10-28;1800.1;1901.05;5.31;
2004-11-25;1901.05;2059.8;7.71;
2004-12-30;2059.8;1955;5.36;
2005-01-27;1955;2055.3;4.88;
2005-02-24;2055.3;2035.65;0.97;
2005-03-31;2035.65;1941.3;4.86;
2005-04-28;1941.3;2074.7;6.43;
2005-05-26;2074.7;2220.6;6.57;
2005-06-30;2220.6;2319.1;4.25;
2005-07-27;2319.1;2354.55;1.51;
2005-08-25;2354.55;2611.2;9.83;
2005-09-29;2611.2;2352.9;10.98;
2005-10-27;2352.9;2635;10.71;
2005-11-24;2635;2821.95;6.62;
2005-12-29;2821.95;2940.35;4.03;
2006-01-25;2940.35;3062.1;3.98;
2006-02-23;3062.1;3418.95;10.44;
2006-03-30;3418.95;3508.1;2.54;
2006-04-27;3508.1;3177.7;10.4;
2006-05-25;3177.7;2997.9;6;
2006-06-29;2997.9;3156.15;5.01;
2006-07-27;3156.15;3413.9;7.55;
2006-08-31;3413.9;3571.75;4.42;
2006-09-28;3571.75;3677.55;2.88;
2006-10-26;3677.55;3954.5;7;
2006-11-30;3954.5;3970.55;0.4;
2006-12-28;3970.55;4147.7;4.27;
2007-01-25;4147.7;4040;2.67;
2007-02-22;4040;3798.1;6.37;
2007-03-29;3798.1;4177.85;9.09;
2007-04-26;4177.85;4295.8;2.75;
2007-05-31;4295.8;4282;0.32;
2007-06-28;4282;4619.8;7.31;
2007-07-26;4619.8;4412.3;4.7;
2007-08-30;4412.3;5000.55;11.76;
2007-09-27;5000.55;5568.95;10.21;
2007-10-25;5568.95;5634.6;1.17;
2007-11-29;5634.6;6081.5;7.35;
2007-12-27;6081.5;5137.45;18.38;
2008-01-31;5137.45;5285.1;2.79;
2008-02-28;5285.1;4830.25;9.42;
2008-03-27;4830.25;4999.85;3.39;
2008-04-24;4999.85;4835.3;3.4;
2008-05-29;4835.3;4315.85;12.04;
2008-06-26;4315.85;4332.95;0.39;
2008-07-31;4332.95;4214;2.82;
2008-08-28;4214;4110.55;2.52;
2008-09-25;4110.55;2697.05;52.41;
2008-10-29;2697.05;2752.25;2.01;
2008-11-26;2752.25;2916.85;5.64;
2008-12-24;2916.85;2823.95;3.29;
2009-01-29;2823.95;2785.65;1.37;
2009-02-26;2785.65;3082.25;9.62;
2009-03-26;3082.25;4337.1;28.93;
2009-05-28;4337.1;4241.85;2.25;
2009-06-25;4241.85;4571.45;7.21;
2009-07-30;4571.45;4688.2;2.49;
2009-08-27;4688.2;4986.55;5.98;
2009-09-24;4986.55;4750.55;4.97;
2009-10-29;4750.55;5005.55;5.09;
2009-11-26;5005.55;5201.05;3.76;
2009-12-31;5201.05;4867.25;6.86;
2010-01-28;4867.25;4859.75;0.15;
2010-02-25;4859.75;5260.4;7.62;
2010-03-25;5260.4;5254.15;0.12;
2010-04-29;5254.15;5003.1;5.02;
2010-05-27;5003.1;5320.6;5.97;
2010-06-24;5320.6;5408.9;1.63;
2010-07-29;5408.9;5477.9;1.26;
2010-08-26;5477.9;6029.95;9.16;
2010-09-30;6029.95;5987.7;0.71;
2010-10-28;5987.7;5799.75;3.24;
2010-11-25;5799.75;6101.85;4.95;
2010-12-30;6101.85;5604.3;8.88;
2011-01-27;5604.3;5262.7;6.49;
2011-02-24;5262.7;5833.75;9.79;
2011-03-31;5833.75;5785.45;0.83;
2011-04-28;5785.45;5412.35;6.89;
2011-05-26;5412.35;5647.4;4.16;
2011-06-30;5647.4;5487.75;2.91;
2011-07-28;5487.75;4839.6;13.39;
2011-08-25;4839.6;5015.45;3.51;
2011-09-29;5015.45;5201.8;3.58;
2011-10-26;5201.8;4756.45;9.36;
2011-11-24;4756.45;4646.25;2.37;
2011-12-29;4646.25;5158.3;9.93;
2012-01-25;5158.3;5483.3;5.93;
2012-02-23;5483.3;5178.85;5.88;
2012-03-29;5178.85;5189;0.2;
2012-04-26;5189;4924.25;5.38;
2012-05-31;4924.25;5149.15;4.37;
2012-06-28;5149.15;5043;2.1;
2012-07-26;5043;5315.05;5.12;
2012-08-30;5315.05;5649.5;5.92;
2012-09-27;5649.5;5705.3;0.98;
2012-10-25;5705.3;5825;2.05;
2012-11-29;5825;5870.1;0.77;
2012-12-27;5870.1;6034.75;2.73;
2013-01-31;6034.75;5693.05;6;
2013-02-28;5693.05;5682.55;0.18;
2013-03-28;5682.55;5916.3;3.95;
2013-04-25;5916.3;6124.05;3.39;
2013-05-30;6124.05;5682.35;7.77;
2013-06-27;5682.35;5907.5;3.81;
2013-07-25;5907.5;5409.05;9.22;
2013-08-29;5409.05;5882.25;8.04;
2013-09-26;5882.25;6299.15;6.62;
2013-10-31;6299.15;6091.85;3.4;
2013-11-28;6091.85;6278.9;2.98;
2013-12-26;6278.9;6073.7;3.38;
2014-01-30;6073.7;6238.8;2.65;
2014-02-26;6238.8;6641.75;6.07;
2014-03-27;6641.75;6840.8;2.91;
2014-04-23;6840.8;7235.65;5.46;
2014-05-29;7235.65;7493.2;3.44;
2014-06-26;7493.2;7721.3;2.95;
2014-07-31;7721.3;7954.35;2.93;
2014-08-28;7954.35;7911.85;0.54;
2014-09-25;7911.85;8169.2;3.15;
2014-10-30;8169.2;8494.2;3.83;
2014-11-27;8494.2;8174.1;3.92;
2014-12-24;8174.1;8952.35;8.69;
2015-01-29;8952.35;8683.85;3.09;
2015-02-26;8683.85;8342.15;4.1;
2015-03-26;8342.15;8181.5;1.96;
2015-04-30;8181.5;8319;1.65;
2015-05-28;8319;8398;0.94;
2015-06-25;8398;8421.8;0.28;
2015-07-30;8421.8;7948.95;5.95;
2015-08-27;7948.95;7868.5;1.02;
2015-09-24;7868.5;8111.75;3;
2015-10-29;8111.75;7883.8;2.89;
2015-11-26;7883.8;7946.35;0.79;
2015-12-31;7946.35;7424.65;7.03;
2016-01-28;7424.65;6970.6;6.51;
2016-02-25;6970.6;7738.4;9.92;
2016-03-31;7738.4;7847.25;1.39;
2016-04-28;7847.25;8069.65;2.76;
2016-05-26;8069.65;8287.75;2.63;
2016-06-30;8287.75;8666.3;4.37;
2016-07-28;8666.3;8592.2;0.86;
2016-08-25;8592.2;8591.25;0.01;
2016-09-29;8591.25;8615.25;0.28;
2016-10-27;8615.25;7965.5;8.16;
2016-11-24;7965.5;8103.6;1.7;
2016-12-29;8103.6;8602.75;5.8;
2017-01-25;8602.75;8939.5;3.77;
2017-02-23;8939.5;9173.75;2.55;
2017-03-30;9173.75;9342.15;1.8;
2017-04-27;9342.15;9509.75;1.76;
2017-05-25;9509.75;9504.1;0.06;
2017-06-29;9504.1;10020.55;5.15;
2017-07-27;10020.55;9917.9;1.03;
2017-08-31;9917.9;9768.95;1.52;
2017-09-28;9768.95;10343.8;5.56;
2017-10-26;10343.8;10226.55;1.15;
2017-11-30;10226.55;10477.9;2.4;
2017-12-28;10477.9;11069.65;5.35;
2018-01-25;11069.65;10382.7;6.62;
2018-02-22;10382.7;10617.8;2.21;
2018-04-26;10617.8;10736.15;1.1;
2018-05-31;10736.15;10589.1;1.39;
2018-06-28;10589.1;11167.3;5.18;
2018-07-26;11167.3;11676.8;4.36;
2018-08-30;11676.8;10977.55;6.37;
2018-09-27;10977.55;10124.9;8.42;
2018-10-25;10124.9;10858.7;6.76;
2018-11-29;10858.7;10779.8;0.73;
2018-12-27;10779.8;10830.95;0.47;
2019-01-31;10830.95;10792.5;0.36;
2019-02-28;10792.5;11570;6.72;
2019-03-28;11570;11641.8;0.62;
2019-04-25;11641.8;11945.9;2.55;
2019-05-30;11945.9;11841.55;0.88;
2019-06-27;11841.55;11252.15;5.24;
2019-07-25;11252.15;10948.3;2.78;
2019-08-29;10948.3;11571.2;5.38;
2019-09-26;11571.2;11877.45;2.58;
2019-10-31;11877.45;12151.15;2.25;
2019-11-28;12151.15;12126.55;0.2;
2019-12-26;12126.55;12035.8;0.75;
2020-01-30;12035.8;11633.3;3.46;
2020-02-27;11633.3;8641.45;34.62;
2020-03-26;8641.45;9859.9;12.36;
2020-04-30;9859.9;9490.1;3.9;
2020-05-28;9490.1;10288.9;7.76;
2020-06-25;10288.9;11102.15;7.33;
2020-07-30;11102.15;11559.25;3.95;
2020-08-27;11559.25;10805.55;6.98;
2020-09-24;10805.55;11670.8;7.41;
2020-10-29;11670.8;12987;10.13;
2020-11-26;12987;13981.75;7.11;
2020-12-31;13981.75;13817.55;1.19;
2021-01-28;13817.55;15097.35;8.48;
2021-02-25;15097.35;14324.9;5.39;
2021-03-25;14324.9;14894.9;3.83;
2021-04-29;14894.9;15337.85;2.89;
2021-05-27;15337.85;15435.65;0.63;
